study,subject_id,session_name,time_bin_start_s,leverpress_count_5s
1b,XIN3R,retest_contextual,0.0,1
1b,XIN3R,retest_cue,5.0,1
1b,XIN3R,retest_cue,230.0,1
1b,XIN3R,retest_cue,385.0,1
1b,XIN3R,retest_lever_baseline,10.0,1
1b,XIN3R,retest_lever_baseline,90.0,1
1b,XIN3R,retest_lever_baseline,115.0,1
1b,XIN3R,retest_lever_baseline,215.0,1
1b,XIN3R,retest_lever_baseline,280.0,1
1b,XIN3R,retest_lever_baseline,395.0,1
1b,XIN3R,retest_lever_baseline,500.0,1
1b,XIN3R,retest_lever_baseline,610.0,1
1b,XIN3R,retest_lever_baseline,675.0,1
1b,XIN3R,retest_lever_baseline,785.0,1
1b,XIN3R,retest_lever_baseline,895.0,1
1b,XIN3R,retest_lever_baseline,975.0,1
1b,XIN3R,retest_lever_baseline,1085.0,1
1b,XIN3R,retest_lever_baseline,1285.0,1
1b,XIN3R,retest_lever_baseline,1365.0,1
1b,XIN3R,retest_lever_baseline,1545.0,1
1b,XIN3R,retest_lever_baseline,1705.0,1
1b,XIN3R,retest_lever_baseline,1900.0,1
1b,XIN3R,retest_lever_baseline,2180.0,1
1b,XIN3R,retest_lever_baseline,2270.0,1
1b,XIN3R,retest_lever_baseline,2305.0,1
1b,XIN3R,retest_lever_baseline,2445.0,1
1b,XIN3R,retest_lever_baseline,2690.0,1
1b,XIN3R,retest_lever_baseline,2825.0,1
1b,XIN3R,retest_lever_baseline,2905.0,1
1b,XIN3R,retest_lever_baseline,3015.0,1
1b,XIN3R,retest_lever_baseline,3500.0,1
1b,XIN3R,retest_lever_baseline,3550.0,1
1b,XIN4B,pretest_contextual,5.0,1
1b,XIN4B,pretest_contextual,125.0,1
1b,XIN4B,pretest_contextual,150.0,1
1b,XIN4B,pretest_contextual,165.0,1
1b,XIN4B,pretest_cue,5.0,1
1b,XIN4B,pretest_cue,150.0,1
1b,XIN4B,pretest_cue,175.0,1
1b,XIN4B,pretest_cue,225.0,1
1b,XIN4B,pretest_cue,305.0,1
1b,XIN4B,pretest_cue,465.0,1
1b,XIN4B,pretest_cue,530.0,1
1b,XIN4B,retest_contextual,10.0,1
1b,XIN4B,retest_contextual,130.0,1
1b,XIN4B,retest_contextual,195.0,1
1b,XIN4B,retest_cue,0.0,2
1b,XIN4B,retest_cue,115.0,1
1b,XIN4B,retest_cue,160.0,1
1b,XIN4B,retest_cue,180.0,1
1b,XIN4B,retest_cue,350.0,1
1b,XIN4B,retest_lever_baseline,10.0,1
1b,XIN4B,retest_lever_baseline,55.0,1
1b,XIN4B,retest_lever_baseline,155.0,1
1b,XIN4B,retest_lever_baseline,255.0,1
1b,XIN4B,retest_lever_baseline,350.0,1
1b,XIN4B,retest_lever_baseline,505.0,1
1b,XIN4B,retest_lever_baseline,635.0,1
1b,XIN4B,retest_lever_baseline,665.0,1
1b,XIN4B,retest_lever_baseline,740.0,1
1b,XIN4B,retest_lever_baseline,885.0,1
1b,XIN4B,retest_lever_baseline,940.0,1
1b,XIN4B,retest_lever_baseline,1005.0,1
1b,XIN4B,retest_lever_baseline,1170.0,1
1b,XIN4B,retest_lever_baseline,1225.0,1
1b,XIN4B,retest_lever_baseline,1350.0,1
1b,XIN4B,retest_lever_baseline,1515.0,1
1b,XIN4B,retest_lever_baseline,1565.0,1
1b,XIN4B,retest_lever_baseline,1695.0,1
1b,XIN4B,retest_lever_baseline,1790.0,1
1b,XIN4B,retest_lever_baseline,1930.0,1
1b,XIN4B,retest_lever_baseline,2065.0,1
1b,XIN4B,retest_lever_baseline,2215.0,1
1b,XIN4B,retest_lever_baseline,2275.0,1
1b,XIN4B,retest_lever_baseline,2320.0,1
1b,XIN4B,retest_lever_baseline,2475.0,1
1b,XIN4B,retest_lever_baseline,2600.0,1
1b,XIN4B,retest_lever_baseline,2735.0,1
1b,XIN4B,retest_lever_baseline,2865.0,1
1b,XIN4B,retest_lever_baseline,3025.0,1
1b,XIN4B,retest_lever_baseline,3120.0,1
1b,XIN4B,retest_lever_baseline,3180.0,1
1b,XIN4B,retest_lever_baseline,3315.0,1
1b,XIN4B,retest_lever_baseline,3415.0,1
1b,XIN4B,retest_lever_baseline,3555.0,1
1b,XIN4G,pretest_contextual,5.0,1
1b,XIN4G,pretest_contextual,125.0,1
1b,XIN4G,pretest_cue,5.0,1
1b,XIN4G,pretest_cue,180.0,1
1b,XIN4G,pretest_cue,465.0,1
1b,XIN4G,retest_contextual,10.0,1
1b,XIN4G,retest_cue,0.0,2
1b,XIN4G,retest_cue,180.0,1
1b,XIN4G,retest_cue,230.0,1
1b,XIN4G,retest_cue,315.0,1
1b,XIN4G,retest_cue,430.0,1
1b,XIN4G,retest_cue,515.0,1
1b,XIN4G,retest_lever_baseline,10.0,1
1b,XIN4G,retest_lever_baseline,110.0,1
1b,XIN4G,retest_lever_baseline,190.0,1
1b,XIN4G,retest_lever_baseline,310.0,1
1b,XIN4G,retest_lever_baseline,470.0,1
1b,XIN4G,retest_lever_baseline,495.0,1
1b,XIN4G,retest_lever_baseline,595.0,1
1b,XIN4G,retest_lever_baseline,640.0,1
1b,XIN4G,retest_lever_baseline,670.0,1
1b,XIN4G,retest_lever_baseline,785.0,1
1b,XIN4G,retest_lever_baseline,1005.0,1
1b,XIN4G,retest_lever_baseline,1130.0,1
1b,XIN4G,retest_lever_baseline,1260.0,1
1b,XIN4G,retest_lever_baseline,1280.0,1
1b,XIN4G,retest_lever_baseline,1395.0,1
1b,XIN4G,retest_lever_baseline,1625.0,1
1b,XIN4G,retest_lever_baseline,2025.0,1
1b,XIN4G,retest_lever_baseline,2135.0,1
1b,XIN4G,retest_lever_baseline,2315.0,1
1b,XIN4G,retest_lever_baseline,2365.0,1
1b,XIN4G,retest_lever_baseline,2505.0,1
1b,XIN4G,retest_lever_baseline,2685.0,1
1b,XIN4G,retest_lever_baseline,2800.0,1
1b,XIN4G,retest_lever_baseline,3015.0,1
1b,XIN4G,retest_lever_baseline,3170.0,1
1b,XIN4G,retest_lever_baseline,3355.0,1
1b,XIN4R,pretest_contextual,5.0,1
1b,XIN4R,pretest_cue,5.0,1
1b,XIN4R,pretest_cue,295.0,1
1b,XIN4R,pretest_cue,335.0,1
1b,XIN4R,retest_contextual,0.0,1
1b,XIN4R,retest_cue,5.0,1
1b,XIN4R,retest_cue,25.0,1
1b,XIN4R,retest_lever_baseline,10.0,1
1b,XIN4R,retest_lever_baseline,90.0,1
1b,XIN4R,retest_lever_baseline,170.0,1
