study,subject_id,session_name,boli_count_session,source_filepath,source_sheet
2,EXT3G,extinction4,1.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,EXT3B,extinction4,3.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,NOEXT2G,extinction4,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,NOEXT2B,extinction4,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,NOEXT3R,extinction4,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,NOEXT3G,extinction4,2.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,NOEXT3B,extinction4,10.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,EXT1R,extinction4,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,EXT1G,extinction4,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,EXT1B,extinction4,4.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,NOEXT1R,extinction4,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,NOEXT1G,extinction4,7.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,NOEXT1B,extinction4,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,EXT2R,LTM2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,EXT2G,LTM2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,EXT2B,LTM2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,EXT3R,LTM2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,EXT3G,LTM2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,EXT3B,LTM2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,NOEXT2G,LTM2,6.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,NOEXT2B,LTM2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,NOEXT3R,LTM2,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,NOEXT3G,LTM2,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,NOEXT3B,LTM2,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,EXT1R,LTM2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,EXT1G,LTM2,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,EXT1B,LTM2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,NOEXT1R,LTM2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,NOEXT1G,LTM2,6.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
2,NOEXT1B,LTM2,9.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM2
