study,subject_id,session_name,time_bin_start_s,usv22_call_count_5s,usv50_call_count_5s
1a,XIN1G,generalization_7k,445.0,3,0
1a,XIN1G,generalization_7k,450.0,4,0
1a,XIN1G,generalization_7k,455.0,3,0
1a,XIN1G,generalization_7k,460.0,3,0
1a,XIN1G,generalization_7k,465.0,2,0
1a,XIN1G,generalization_7k,470.0,1,0
1a,XIN1G,generalization_7k,475.0,4,0
1a,XIN1G,generalization_7k,480.0,2,0
1a,XIN1G,generalization_7k,485.0,5,0
1a,XIN1G,generalization_7k,490.0,3,0
1a,XIN1G,generalization_7k,495.0,5,0
1a,XIN1G,generalization_7k,505.0,1,0
1a,XIN1G,generalization_7k,510.0,4,0
1a,XIN1G,generalization_7k,515.0,6,0
1a,XIN1G,learning,0.0,0,2
1a,XIN1G,learning,5.0,0,5
1a,XIN1G,learning,20.0,0,2
1a,XIN1G,learning,25.0,0,3
1a,XIN1G,learning,45.0,0,1
1a,XIN1G,learning,50.0,0,2
1a,XIN1G,learning,55.0,0,3
1a,XIN1G,learning,75.0,0,1
1a,XIN1G,learning,80.0,0,1
1a,XIN1G,learning,100.0,0,1
1a,XIN1G,learning,115.0,0,1
1a,XIN1G,learning,215.0,0,2
1a,XIN1G,learning,655.0,0,2
1a,XIN1G,learning,695.0,0,1
1a,XIN1G,learning,885.0,1,0
1a,XIN1G,learning,890.0,1,0
1a,XIN1G,learning,895.0,2,0
1a,XIN1G,learning,900.0,1,0
1a,XIN1G,learning,905.0,1,0
1a,XIN1G,learning,910.0,2,0
1a,XIN1G,learning,915.0,4,0
1a,XIN1G,learning,920.0,3,0
1a,XIN1G,learning,925.0,2,0
1a,XIN1G,learning,930.0,2,0
1a,XIN1G,learning,935.0,4,0
1a,XIN1G,learning,940.0,3,0
1a,XIN1G,learning,945.0,2,0
1a,XIN1G,learning,950.0,4,0
1a,XIN1G,learning,955.0,3,0
1a,XIN1G,learning,960.0,2,0
1a,XIN1G,learning,970.0,2,0
1a,XIN1G,learning,975.0,3,0
1a,XIN1G,learning,980.0,2,0
1a,XIN1G,learning,995.0,1,0
1a,XIN1G,learning,1000.0,1,0
1a,XIN1G,learning,1005.0,3,0
1a,XIN1G,learning,1010.0,3,0
1a,XIN1G,learning,1020.0,1,0
1a,XIN1G,learning,1025.0,2,0
1a,XIN1G,learning,1030.0,1,0
1a,XIN1G,learning,1035.0,3,0
1a,XIN1G,learning,1040.0,4,0
