session_name,decile,state_label,mean_occupancy,sem_occupancy,n_subjects,spearman_rho,spearman_pval
cue_test,7,Social/Appetitive,0.008264462809917356,0.008264462809917357,11,-0.8924133096001623,0.0005138199647844678
cue_test,8,Fear/Distress,0.2809917355371901,0.12588054720436212,11,0.779199761307608,0.007888892938635227
cue_test,8,Goal-Directed,0.04132231404958678,0.01431446948404031,11,-0.2317116246612596,0.5194792999574562
cue_test,8,Quiescent,0.6694214876033058,0.11901974232988226,11,-0.22424242424242422,0.5334005612725947
cue_test,8,Social/Appetitive,0.008264462809917356,0.008264462809917357,11,-0.8924133096001623,0.0005138199647844678
cue_test,9,Fear/Distress,0.18181818181818182,0.12196734422726124,11,0.779199761307608,0.007888892938635227
cue_test,9,Goal-Directed,0.018181818181818184,0.012196734422726126,11,-0.2317116246612596,0.5194792999574562
cue_test,9,Quiescent,0.7818181818181817,0.11818181818181818,11,-0.22424242424242422,0.5334005612725947
cue_test,9,Social/Appetitive,0.018181818181818184,0.012196734422726126,11,-0.8924133096001623,0.0005138199647844678
extinction1,0,Fear/Distress,0.01358695652173913,0.01358695652173913,16,-0.3939393939393939,0.25999776683488757
extinction1,0,Goal-Directed,0.02839673913043478,0.0034217676930407732,16,-0.7212121212121211,0.01857315508946023
extinction1,0,Quiescent,0.9281476449275362,0.01802418546488385,16,0.7575757575757575,0.011143446799694208
extinction1,0,Social/Appetitive,0.029868659420289857,0.012667650186555903,16,0.0,1.0
extinction1,1,Fear/Distress,0.16130514705882354,0.07485878173961626,16,-0.3939393939393939,0.25999776683488757
extinction1,1,Goal-Directed,0.01976102941176471,0.007223079656333692,16,-0.7212121212121211,0.01857315508946023
extinction1,1,Quiescent,0.814889705882353,0.0727311912361761,16,0.7575757575757575,0.011143446799694208
extinction1,1,Social/Appetitive,0.004044117647058824,0.002240335517177529,16,0.0,1.0
extinction1,2,Fear/Distress,0.1767001114827202,0.07961094413655116,16,-0.3939393939393939,0.25999776683488757
