study,state,state_label,channel,mean,std,n,cohens_d_1a_vs_1b,cohens_d_1a_vs_2,cohens_d_1b_vs_2,early_mean,late_mean,cohens_d_early_vs_late,meaningful
1a,3,Distress-22kHz,usv22_call_count_5s,3.5641367466361715,1.2536771266411253,529,-0.08491777609966127,0.33840181614797005,0.43440852769931276,2.967621451336385,3.3329995217615833,-0.31266072388810173,True
1a,3,Distress-22kHz,usv50_call_count_5s,-0.2863242450867817,0.4112198953251238,529,0.09097957672329572,-0.862482125480709,-0.8244098184477983,0.3417165143449283,1.3418413991085976,-0.5296057808058261,True
1a,3,Distress-22kHz,leverpress_count_5s,-0.16032709858053049,0.0,529,3.366501646120693,0.0,-7.854061020249583,-0.1603270985805305,-0.16032709858053049,-1.9046884534326562,False
1a,3,Distress-22kHz,freezing_pct_5s,0.8336368364550398,1.0017061734179973,529,-0.2902381362667248,-0.11526084010100998,0.14982820643687225,0.8040534327160844,0.9959042310467848,-0.17738795404145535,True
1b,0,USV50-active,usv22_call_count_5s,-0.27532531667424154,5.555526021813902e-17,630,-1.793728050028855,0.0,2.4283379906482128,-0.27532531667424154,-0.2753253166742416,1.1970356586878923,False
1b,0,USV50-active,usv50_call_count_5s,2.3944012032153066,1.6519410273266548,630,-0.5483706332164217,0.11337576324810039,0.6724473381675081,1.6798780072428423,1.3232737927746043,0.24005479304225333,True
1b,0,USV50-active,leverpress_count_5s,-0.1603270985805305,2.777763010906951e-17,630,0.0,-1.7902923038537666,-2.4283379906482128,-0.1603270985805305,-0.1603270985805305,0.0,False
1b,0,USV50-active,freezing_pct_5s,-0.5340356827470761,0.562304325718881,630,0.46754258050602915,0.3463791786861783,-0.11937817688159594,-0.4461445111573312,-0.2895911748719917,-0.22759145808333123,True
1b,1,Quiescent,usv22_call_count_5s,-0.27532531667424154,5.553926526255183e-17,988,-2.405922180466679,-1.0728941627122344,0.0,-0.2753253166742416,-0.27532531667424154,-1.4029865474736707,False
1b,1,Quiescent,usv50_call_count_5s,-0.3220820682447652,0.0,988,0.0,0.0,0.0,-0.3220820682447652,-0.32208206824476526,1.4029865474736707,False
1b,1,Quiescent,leverpress_count_5s,-0.16032709858053049,0.0,988,0.0,-1.0728941627122344,-1.015623717845541,-0.1603270985805305,-0.16032709858053049,-1.4256362309278967,False
1b,1,Quiescent,freezing_pct_5s,-0.23954799058982243,0.7517942137510917,988,0.07495794430000553,-0.17844659814118308,-0.23487466566087992,-0.144825689911435,0.0723780378749619,-0.22441976098190364,True
1b,2,Lever-press,usv22_call_count_5s,-0.2753253166742416,0.0,59,0.10512335478710474,-0.00761718661868146,-0.09246597176576972,-0.22793908302039517,-0.25342345951995204,0.06082124643512827,True
1b,2,Lever-press,usv50_call_count_5s,0.9998997235054197,1.814479141967285,59,-0.8194786004503878,0.1927737606010613,1.2552836637464704,0.11379068961610683,-0.24250456321027775,0.37960148655498627,True
1b,2,Lever-press,leverpress_count_5s,6.333449744387137,0.6798456937437148,59,-0.4523043717696853,-0.0804123894639426,0.3572392591936477,6.239067743309288,6.207186800197114,0.12044724176769833,True
1b,2,Lever-press,freezing_pct_5s,-0.42495795476147835,0.5843219657122792,59,0.343320100535522,-0.056320624602593204,-0.35470934258020265,-0.19293327440498445,-0.0314360535532355,-0.1794557991644828,True
1b,3,Distress-22kHz,usv22_call_count_5s,3.6707453171323388,1.2738262409036782,51,-0.08491777609966127,0.33840181614797005,0.43440852769931276,2.967621451336385,3.3329995217615833,-0.31266072388810173,True
1b,3,Distress-22kHz,usv50_call_count_5s,-0.3220820682447652,0.0,51,0.09097957672329572,-0.862482125480709,-0.8244098184477983,0.3417165143449283,1.3418413991085976,-0.5296057808058261,True
1b,3,Distress-22kHz,leverpress_count_5s,-0.1603270985805305,2.803175729971263e-17,51,3.366501646120693,0.0,-7.854061020249583,-0.1603270985805305,-0.16032709858053049,-1.9046884534326562,False
1b,3,Distress-22kHz,freezing_pct_5s,1.1231610895457658,0.9524378139555812,51,-0.2902381362667248,-0.11526084010100998,0.14982820643687225,0.8040534327160844,0.9959042310467848,-0.17738795404145535,True
2,0,USV50-active,usv22_call_count_5s,-0.2753253166742416,0.0,3087,-1.793728050028855,0.0,2.4283379906482128,-0.27532531667424154,-0.2753253166742416,1.1970356586878923,False
2,0,USV50-active,usv50_call_count_5s,1.4059263389527383,1.4300372954535239,3087,-0.5483706332164217,0.11337576324810039,0.6724473381675081,1.6798780072428423,1.3232737927746043,0.24005479304225333,True
2,0,USV50-active,leverpress_count_5s,-0.16032709858053049,0.0,3087,0.0,-1.7902923038537666,-2.4283379906482128,-0.1603270985805305,-0.1603270985805305,0.0,False
2,0,USV50-active,freezing_pct_5s,-0.4551000332351455,0.6796214312970712,3087,0.46754258050602915,0.3463791786861783,-0.11937817688159594,-0.4461445111573312,-0.2895911748719917,-0.22759145808333123,True
2,1,Quiescent,usv22_call_count_5s,-0.27532531667424154,5.55120377288781e-17,31310,-2.405922180466679,-1.0728941627122344,0.0,-0.2753253166742416,-0.27532531667424154,-1.4029865474736707,False
2,1,Quiescent,usv50_call_count_5s,-0.3220820682447652,0.0,31310,0.0,0.0,0.0,-0.3220820682447652,-0.32208206824476526,1.4029865474736707,False
2,1,Quiescent,leverpress_count_5s,-0.16032709858053046,2.775601886443905e-17,31310,0.0,-1.0728941627122344,-1.015623717845541,-0.1603270985805305,-0.16032709858053049,-1.4256362309278967,False
2,1,Quiescent,freezing_pct_5s,-0.005971423514712229,1.0011675808338247,31310,0.07495794430000553,-0.17844659814118308,-0.23487466566087992,-0.144825689911435,0.0723780378749619,-0.22441976098190364,True
2,2,Lever-press,usv22_call_count_5s,-0.23549588047358652,0.44549062795450234,834,0.10512335478710474,-0.00761718661868146,-0.09246597176576972,-0.22793908302039517,-0.25342345951995204,0.06082124643512827,True
2,2,Lever-press,usv50_call_count_5s,-0.127112808500213,0.795587006152594,834,-0.8194786004503878,0.1927737606010613,1.2552836637464704,0.11379068961610683,-0.24250456321027775,0.37960148655498627,True
2,2,Lever-press,leverpress_count_5s,6.22505134146141,0.25749063826124174,834,-0.4523043717696853,-0.0804123894639426,0.3572392591936477,6.239067743309288,6.207186800197114,0.12044724176769833,True
2,2,Lever-press,freezing_pct_5s,-0.09852950182378024,0.939197409156867,834,0.343320100535522,-0.056320624602593204,-0.35470934258020265,-0.19293327440498445,-0.0314360535532355,-0.1794557991644828,True
2,3,Distress-22kHz,usv22_call_count_5s,3.1684452392742433,1.1542885480932459,3097,-0.08491777609966127,0.33840181614797005,0.43440852769931276,2.967621451336385,3.3329995217615833,-0.31266072388810173,True
2,3,Distress-22kHz,usv50_call_count_5s,1.3202182845941577,2.008113768584826,3097,0.09097957672329572,-0.862482125480709,-0.8244098184477983,0.3417165143449283,1.3418413991085976,-0.5296057808058261,True
2,3,Distress-22kHz,leverpress_count_5s,-0.16032709858053049,0.0,3097,3.366501646120693,0.0,-7.854061020249583,-0.1603270985805305,-0.16032709858053049,-1.9046884534326562,False
2,3,Distress-22kHz,freezing_pct_5s,0.9587729728119075,1.0993585388683598,3097,-0.2902381362667248,-0.11526084010100998,0.14982820643687225,0.8040534327160844,0.9959042310467848,-0.17738795404145535,True
