subject_id,session_name,study,session_type,n_bins,n_fear_bins,n_goal_bins,n_other_bins,n_fg_transitions,conflict_episodes,alternation_rate,transition_rate,fg_transition_rate
XIN1R,cue_test,1a,both_threat_reward,108,57,4,47,2,0,0.0,0.14018691588785046,0.018691588785046728
XIN1R,generalization_5k,1a,reward_dominant,108,13,9,86,0,0,0.0,0.17757009345794392,0.0
XIN1R,generalization_7k,1a,both_threat_reward,108,52,7,49,0,0,0.0,0.2336448598130841,0.0
XIN1R,learning,1a,both_threat_reward,228,0,43,185,0,0,0.0,0.19823788546255505,0.0
XIN1R,retest_contextual,1b,reward_dominant,36,0,27,9,0,0,0.0,0.2571428571428571,0.0
XIN1R,retest_cue,1b,other,108,46,9,53,0,0,0.0,0.2897196261682243,0.0
XIN2B,contextual_test,1a,reward_dominant,36,0,33,3,0,0,0.0,0.22857142857142856,0.0
XIN2B,cue_test,1a,both_threat_reward,108,0,11,97,0,0,0.0,0.205607476635514,0.0
XIN2B,generalization_5k,1a,reward_dominant,108,0,74,34,0,0,0.0,0.35514018691588783,0.0
XIN2B,generalization_7k,1a,both_threat_reward,108,0,12,96,0,0,0.0,0.205607476635514,0.0
XIN2B,learning,1a,both_threat_reward,228,0,26,202,0,0,0.0,0.16299559471365638,0.0
XIN2B,retest_contextual,1b,reward_dominant,36,0,10,26,0,0,0.0,0.2857142857142857,0.0
XIN2B,retest_cue,1b,other,108,0,28,80,0,0,0.0,0.2523364485981308,0.0
XIN2G,contextual_test,1a,reward_dominant,36,0,1,35,0,0,0.0,0.05714285714285714,0.0
XIN2G,cue_test,1a,both_threat_reward,108,0,2,106,0,0,0.0,0.037383177570093455,0.0
XIN2G,generalization_5k,1a,reward_dominant,108,0,5,103,0,0,0.0,0.09345794392523364,0.0
XIN2G,generalization_7k,1a,both_threat_reward,108,0,7,101,0,0,0.0,0.1308411214953271,0.0
XIN2G,learning,1a,both_threat_reward,228,0,14,214,0,0,0.0,0.12334801762114538,0.0
XIN2G,retest_contextual,1b,reward_dominant,36,0,6,30,0,0,0.0,0.22857142857142856,0.0
XIN2G,retest_cue,1b,other,108,0,14,94,0,0,0.0,0.21495327102803738,0.0
XIN2R,contextual_test,1a,reward_dominant,36,0,33,3,0,0,0.0,0.2,0.0
XIN2R,cue_test,1a,both_threat_reward,108,0,35,73,0,0,0.0,0.1588785046728972,0.0
XIN2R,generalization_5k,1a,reward_dominant,108,0,40,68,0,0,0.0,0.29906542056074764,0.0
XIN2R,generalization_7k,1a,both_threat_reward,108,0,40,68,0,0,0.0,0.3364485981308411,0.0
XIN2R,learning,1a,both_threat_reward,228,0,96,132,0,0,0.0,0.3392070484581498,0.0
XIN2R,retest_contextual,1b,reward_dominant,36,0,34,2,0,0,0.0,0.11428571428571428,0.0
