fold,K,state,n_runs_train,n_runs_test,mean_duration_train,std_duration_train,median_duration_train,max_duration_train,p_self_transition,geom_p,geom_expected_mean,ks_stat,ks_pvalue,nb_r,nb_p,variance_ratio,geometric_rejected
1,3,2,934,234,1.011777301927195,0.11738792403666101,1.0,3,0.011702127659650119,0.9882978723403499,1.0118406889128868,0.9882978723403499,0.0,1.0,0.9882978723403499,0.013619523469630539,True
1,4,0,2534,587,11.569060773480663,28.297072552845925,4.0,408,0.9172870460931183,0.08271295390688171,12.090004682045336,0.2584020396953345,1.0262376876197467e-149,0.1696030869126297,0.014448244615375444,69.21256018435804,True
1,4,1,474,172,6.248945147679325,9.76286606174679,3.0,94,0.8466453105394841,0.1533546894605159,6.520830915036799,0.20625975865174845,3.664486202751954e-18,0.4384380740684475,0.06556197835987931,15.252742900936475,True
1,4,2,934,234,1.011777301927195,0.11738792403666101,1.0,3,0.011702127659715332,0.9882978723402847,1.0118406889129536,0.9882978723402847,0.0,1.0,0.9882978723402847,0.013619523469630539,True
1,4,3,1373,212,2.4333576110706483,3.386829404754061,1.0,42,0.5932248470312421,0.4067751529687579,2.4583605775862236,0.4067751529687579,7.945148614692632e-206,0.6552021311083867,0.21213840294574637,4.713903687941624,True
1,5,0,492,177,3.644308943089431,6.03895788421466,1.0,58,0.731572653886442,0.268427346113558,3.7254028491454467,0.268427346113558,8.539565927974491e-32,0.40460343288471634,0.09992891801897068,10.007113254345036,True
1,5,1,2534,587,11.569060773480663,28.297072552845925,4.0,408,0.9172882544175033,0.08271174558249672,12.090181303241868,0.2584050898080424,1.0178154332720936e-149,0.1696030869126297,0.014448244615375444,69.21256018435804,True
1,5,2,240,85,4.85,6.934394950774965,2.0,36,0.8008409886272561,0.19915901137274394,5.0211134967345785,0.2163462890654808,2.4293542018890733e-10,0.5440510379122255,0.10086130703776235,9.914604810996563,True
1,5,3,934,234,1.011777301927195,0.11738792403666101,1.0,3,0.011702127659668729,0.9882978723403313,1.011840688912906,0.9882978723403313,0.0,1.0,0.9882978723403313,0.013619523469630539,True
1,5,4,1378,213,2.4281567489114657,3.381777720397334,1.0,42,0.5923997650682828,0.40760023493171715,2.4533842581506953,0.40760023493171715,1.903170067968012e-207,0.6545040562041262,0.21231789599361514,4.709918564896066,True
1,6,0,2534,587,11.569060773480663,28.297072552845925,4.0,408,0.9172882564025261,0.08271174359747391,12.09018159339759,0.25840509481874263,1.0178016541995388e-149,0.1696030869126297,0.014448244615375444,69.21256018435804,True
1,6,1,12,4,1.0,0.0,1.0,1,2.637092189797109e-43,1.0,1.0,1.0,0.0,1.0,1.0,0.0,True
1,6,2,492,177,3.644308943089431,6.03895788421466,1.0,58,0.7315726706214946,0.26842732937850544,3.7254030814050036,0.26842732937850544,8.53964405443181e-32,0.40460343288471634,0.09992891801897068,10.007113254345036,True
1,6,3,922,230,1.0119305856832972,0.1181416277419344,1.0,3,0.011853449323557114,0.9881465506764429,1.0119956390228178,0.9881465506764429,0.0,1.0,0.9881465506764429,0.013792886985513106,True
1,6,4,240,85,4.85,6.934394950774965,2.0,36,0.8008400361630642,0.1991599638369358,5.021089483721537,0.21634476352165793,2.4301425183136793e-10,0.5440510379122255,0.10086130703776235,9.914604810996563,True
1,6,5,1378,213,2.4281567489114657,3.381777720397334,1.0,42,0.592399547872556,0.407600452127444,2.4533829508298264,0.407600452127444,1.902162115053389e-207,0.6545040562041262,0.21231789599361514,4.709918564896066,True
2,3,0,2727,394,11.605427209387605,25.48382893330698,4.0,395,0.9176317616535367,0.08236823834646334,12.140602009645107,0.24023679018964705,5.359045520308828e-139,0.21116603039540313,0.017870296972266844,55.95877905957095,True
2,3,1,1047,121,1.011461318051576,0.11506596332260553,1.0,3,0.011374407582800944,0.988625592417199,1.011505273250099,0.988625592417199,0.0,1.0,0.988625592417199,0.013090145593372128,True
2,3,2,1876,304,3.2137526652452024,4.909049407785509,1.0,48,0.6934380272048155,0.3065619727951845,3.26198318363545,0.3065619727951845,5.255507332137161e-157,0.4945271513246232,0.13335756086013567,7.498637449201638,True
2,4,0,2727,394,11.605427209387605,25.48382893330698,4.0,395,0.9176325648066553,0.08236743519334466,12.1407203909246,0.2402388190719751,5.3298610705849714e-139,0.21116603039540313,0.017870296972266844,55.95877905957095,True
2,4,1,1363,222,2.374908290535583,3.3071458086260836,1.0,42,0.5823719226235915,0.4176280773764085,2.39447502256583,0.4176280773764085,7.443212102125814e-216,0.6587232429431842,0.21714016210393358,4.605320316199048,True
2,4,2,558,88,5.003584229390681,6.949380833091213,2.0,48,0.8061110207100045,0.1938889792899955,5.157590718471533,0.1938889792899955,7.516939817086101e-19,0.5783246942438944,0.10360697427275956,9.651859896683817,True
2,4,3,1047,121,1.011461318051576,0.11506596332260553,1.0,3,0.01137440758276144,0.9886255924172386,1.0115052732500587,0.9886255924172386,0.0,1.0,0.9886255924172386,0.013090145593372128,True
2,5,0,576,93,3.1284722222222223,4.857427920126905,1.0,35,0.6846720154179748,0.31532798458202516,3.171301149580885,0.31532798458202516,2.084139971541378e-51,0.47822117024428856,0.1325926875966707,7.541894037489208,True
2,5,1,2727,394,11.605427209387605,25.48382893330698,4.0,395,0.9176332572420561,0.08236674275794387,12.140822454746822,0.24024056826799395,5.3048271719212085e-139,0.21116603039540313,0.017870296972266844,55.95877905957095,True
2,5,2,1047,121,1.011461318051576,0.11506596332260553,1.0,3,0.011374407582833517,0.9886255924171665,1.0115052732501324,0.9886255924171665,0.0,1.0,0.9886255924171665,0.013090145593372128,True
2,5,3,276,50,3.5652173913043477,4.820632771230335,2.0,33,0.7283694989336604,0.27163050106633957,3.6814716906764926,0.27163050106633957,1.7592757728292724e-18,0.6460932370321733,0.15341856586992772,6.518115942028986,True
2,5,4,1369,223,2.3688823959094227,3.3011402494781144,1.0,42,0.5815923666406376,0.4184076333593624,2.3900137575671785,0.4184076333593624,1.1980350116237076e-217,0.6579713543242128,0.21737798011331919,4.6002819580837935,True
2,6,0,14,2,1.0,0.0,1.0,1,8.98911475502056e-48,1.0,1.0,1.0,0.0,1.0,1.0,0.0,True
2,6,1,2727,394,11.605427209387605,25.48382893330698,4.0,395,0.9176332585170636,0.08236674148293643,12.140822642682371,0.24024057148885705,5.304781184470161e-139,0.21116603039540313,0.017870296972266844,55.95877905957095,True
2,6,2,1033,119,1.0116166505324298,0.11583528126140517,1.0,3,0.011527377711182509,0.9884726222888175,1.0116618077741908,0.9884726222888175,0.0,1.0,0.9884726222888175,0.013263732242689796,True
2,6,3,1369,223,2.3688823959094227,3.3011402494781144,1.0,42,0.5815926722359182,0.41840732776408185,2.3900155031793515,0.41840732776408185,1.1989505438056093e-217,0.6579713543242128,0.21737798011331919,4.6002819580837935,True
2,6,4,576,93,3.1284722222222223,4.857427920126905,1.0,35,0.6846720360540267,0.3153279639459733,3.171301357120788,0.3153279639459733,2.0841727379126896e-51,0.47822117024428856,0.1325926875966707,7.541894037489208,True
2,6,5,276,51,3.5652173913043477,4.820632771230335,2.0,33,0.7283709944172757,0.2716290055827243,3.6814919594271798,0.2716290055827243,1.760093631429399e-18,0.6460932370321733,0.15341856586992772,6.518115942028986,True
3,3,0,2422,699,12.987613542526837,29.628372789543864,4.5,408,0.9265677450834124,0.07343225491658756,13.617993906572938,0.23706995972719813,3.0610906589195264e-120,0.1950367666129253,0.014794958679720336,67.59059093356674,True
3,3,1,1613,567,3.69435833849969,6.505675840422529,2.0,94,0.7346180542849381,0.2653819457150619,3.768153848241397,0.2653819457150619,9.118588949908557e-101,0.35331282402452463,0.08728792677026441,11.456338087075073,True
3,3,2,974,194,1.01129363449692,0.11497598187064537,1.0,3,0.011224489795679495,0.9887755102043205,1.0113519091844823,0.9887755102043205,0.0,1.0,0.9887755102043205,0.013071847736582617,True
3,4,0,2422,699,12.987613542526837,29.628372789543864,4.5,408,0.9265683541244035,0.07343164587559647,13.618106854014147,0.23707189765894143,3.047138533034373e-120,0.1950367666129253,0.014794958679720336,67.59059093356674,True
3,4,1,541,105,6.11275415896488,9.558470901879446,3.0,94,0.8423250839542182,0.15767491604578177,6.3421628822028016,0.20022717381220778,1.7367504699821665e-19,0.43829978822538607,0.06690523261732136,14.946514059964663,True
3,4,2,1119,466,2.3699731903485253,3.4203343856090367,1.0,42,0.5821460164895166,0.4178539835104834,2.3931804875922915,0.4178539835104834,1.6634680628668422e-177,0.6020950852714292,0.20258454027131526,4.93621082171784,True
3,4,3,974,194,1.01129363449692,0.11497598187064537,1.0,3,0.011224489795895772,0.9887755102041043,1.0113519091847034,0.9887755102041043,0.0,1.0,0.9887755102041043,0.013071847736582617,True
3,5,0,567,102,3.2839506172839505,5.414280540878827,1.0,58,0.6998760162243417,0.3001239837756583,3.3319563049232905,0.3001239837756583,8.625323338771039e-46,0.4142962537912944,0.1120250400349396,8.926575698505522,True
