model_rank,model_seed,state,usv22_mean,usv50_mean,lever_mean,freezing_mean
12,28,0,2.808098979409034,-0.3220820682447656,-0.16032709858053037,1.8751462808821893
12,28,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
12,28,2,2.4531972180197092,2.1205700976816804,-0.16032709858053043,0.3601995869807816
12,28,3,-0.27532531667424165,-0.1698379011733027,-0.16032709858053043,-0.07671083588622159
13,41,0,-0.2753253166742414,-0.3220820682447654,-0.16032709858053035,0.2618344388233931
13,41,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
13,41,2,3.2476589047936284,1.0514045304072732,-0.16032709858053057,0.9484742187077416
13,41,3,-0.27532531667424115,-0.09043026560776442,-0.16032709858053037,-0.07879115284274531
14,63,0,3.5568381868352112,3.0217710710642383,-0.1603270985805305,1.00797478118247
14,63,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
14,63,2,0.42509137507869926,-0.32208206824476465,-0.16032709858053026,1.2971010659873659
14,63,3,-0.2753253166742419,-0.04036448652419693,-0.1603270985805305,-0.41945144868871637
15,73,0,3.4258295136565686,3.1159777258975714,-0.1603270985805305,0.9485248379401662
15,73,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
15,73,2,2.6979008445445474,-0.3220820682447652,-0.16032709858053054,0.9809691871823736
15,73,3,-0.2753253166742414,-0.096107409104797,-0.16032709858053043,-0.08794901913628789
16,44,0,0.7097886054173809,-0.32208206824476504,-0.16032709858053057,1.8185086108356436
16,44,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
16,44,2,3.2770368969706145,1.8262416375693835,-0.16032709858053062,0.5234695619185052
16,44,3,-0.2753253166742418,-0.07542536141724823,-0.1603270985805305,-0.23395855103336446
17,72,0,-0.2753253166742415,2.3201524171502994,-0.1603270985805304,-0.4242864545145093
17,72,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
17,72,2,3.241159084187995,1.0519507182230996,-0.16032709858053049,0.9496724502396756
17,72,3,-0.27532531667424137,-0.3167414060374303,-0.16032709858053026,-0.046685806075586984
18,49,0,-0.27532531484356176,-0.32208206824476493,-0.1603270985805305,1.7347530675752114
18,49,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
18,49,2,3.229905486535157,1.0744870596002387,-0.1603270985805307,0.9420171869824582
18,49,3,-0.2753253166742418,-0.09203366116413908,-0.1603270985805305,-0.08591524209652714
19,15,0,-0.2753253166742416,-0.006617553691499154,-0.16032709858053046,-0.08076007255360948
19,15,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
19,15,2,3.1386900006108402,1.1782732027720184,-0.16032709858053054,0.9038184992535866
19,15,3,-0.27532531667424165,-0.24149135079234604,-0.1603270985805304,-0.07329659747858554
20,34,0,-0.27532531667424154,2.926377722845211,-0.16032709858053054,-0.43162067435289375
20,34,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
20,34,2,3.246752446710122,1.0516654276639152,-0.16032709858053062,0.9484540470825724
20,34,3,-0.27532531667424187,-0.26095497562825215,-0.16032709858053076,-0.05887585066807804
