source_filepath,n_raw_rows,subject_id,session_name,band,error,study,score,n_raw_rows_filled
研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin1Gcontex2 2024-09-23  7_29 PM_Stats.xlsx,14.0,XIN1G,retest_contextual,50,,1b,0,14.0
研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin1Rcontext2 2024-09-23  7_37 PM_Stats.xlsx,89.0,XIN1R,retest_contextual,50,,1b,0,89.0
研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin2Bcontext2 2024-09-23  7_48 PM_Stats.xlsx,18.0,XIN2B,retest_contextual,50,,1b,0,18.0
研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin2Gcontex2 2024-09-23  7_52 PM_Stats.xlsx,7.0,XIN2G,retest_contextual,50,,1b,0,7.0
研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin2Rcontext2 2024-09-23  7_58 PM_Stats.xlsx,173.0,XIN2R,retest_contextual,50,,1b,0,173.0
研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin3Bcontex2 2024-09-23  8_20 PM_Stats.xlsx,89.0,XIN3B,retest_contextual,50,,1b,0,89.0
研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin3Gcontext2 2024-09-23  8_32 PM_Stats.xlsx,247.0,XIN3G,retest_contextual,50,,1b,0,247.0
研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin3Rcontex2 2024-09-23  8_48 PM_Stats.xlsx,199.0,XIN3R,retest_contextual,50,,1b,0,199.0
研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin4Bcontex2 2024-09-23  8_59 PM_Stats.xlsx,96.0,XIN4B,retest_contextual,50,,1b,0,96.0
研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin4Gcontext2 2024-09-23  9_07 PM_Stats.xlsx,146.0,XIN4G,retest_contextual,50,,1b,0,146.0
研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin4Rcontex2 2024-09-23  9_16 PM_Stats.xlsx,69.0,XIN4R,retest_contextual,50,,1b,0,69.0
研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin1Bcue 2024-04-30 10_21 AM_Stats.xlsx,8.0,XIN1B,pretest_cue,50,,1b,0,8.0
研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin1Gcue 2024-04-30 10_09 AM_Stats.xlsx,8.0,XIN1G,pretest_cue,50,,1b,0,8.0
研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin1Rcue 2024-04-30  9_49 AM_Stats.xlsx,13.0,XIN1R,pretest_cue,50,,1b,0,13.0
研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin2Bcue 2024-04-30 10_44 AM_Stats.xlsx,19.0,XIN2B,pretest_cue,50,,1b,0,19.0
研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin2Gcue 2024-04-30 10_41 AM_Stats.xlsx,2.0,XIN2G,pretest_cue,50,,1b,0,2.0
研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin2Rcue 2024-04-30 10_27 AM_Stats.xlsx,106.0,XIN2R,pretest_cue,50,,1b,0,106.0
研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin3Bcue 2024-04-30 11_05 AM_Stats.xlsx,11.0,XIN3B,pretest_cue,50,,1b,0,11.0
研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin3Gcue 2024-04-30 10_57 AM_Stats.xlsx,50.0,XIN3G,pretest_cue,50,,1b,0,50.0
研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin3Rcue 2024-04-30 10_49 AM_Stats.xlsx,12.0,XIN3R,pretest_cue,50,,1b,0,12.0
研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin4Bcue 2024-04-30 11_25 AM_Stats.xlsx,11.0,XIN4B,pretest_cue,50,,1b,0,11.0
研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin4Gcue 2024-04-30 11_16 AM_Stats.xlsx,13.0,XIN4G,pretest_cue,50,,1b,0,13.0
研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin4Rcue 2024-04-30 11_11 AM_Stats.xlsx,6.0,XIN4R,pretest_cue,50,,1b,0,6.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin1Bcue2 2024-09-23  8_11 PM_Stats.xlsx,7.0,XIN1B,retest_cue,50,,1b,0,7.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin1Gcue2 2024-09-23  7_42 PM_Stats.xlsx,25.0,XIN1G,retest_cue,50,,1b,0,25.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin1Rcue2 2024-09-23  8_01 PM_Stats.xlsx,18.0,XIN1R,retest_cue,50,,1b,0,18.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin2Bcue2s 2024-09-23  9_32 PM_Stats.xlsx,51.0,XIN2B,retest_cue,50,,1b,0,51.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin2Gcue2 2024-09-23  8_15 PM_Stats.xlsx,22.0,XIN2G,retest_cue,50,,1b,0,22.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin2Rcue2s 2024-09-23  9_02 PM_Stats.xlsx,487.0,XIN2R,retest_cue,50,,1b,0,487.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin3Bcue2 2024-09-23  8_28 PM_Stats.xlsx,10.0,XIN3B,retest_cue,50,,1b,0,10.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin3Gcue2s 2024-09-23  9_38 PM_Stats.xlsx,225.0,XIN3G,retest_cue,50,,1b,0,225.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin3Rcue2 2024-09-23  8_24 PM_Stats.xlsx,10.0,XIN3R,retest_cue,50,,1b,0,10.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin4Bscue2 2024-09-23  8_38 PM_Stats.xlsx,11.0,XIN4B,retest_cue,50,,1b,0,11.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin4Gcue2 2024-09-23  8_44 PM_Stats.xlsx,114.0,XIN4G,retest_cue,50,,1b,0,114.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin4Rcue2 2024-09-23  8_32 PM_Stats.xlsx,6.0,XIN4R,retest_cue,50,,1b,0,6.0
研究2/orginal data/22kHz USVs/1learn/EXT1B 2024-12-31 12_03 AM_Stats.xlsx,202.0,EXT1B,learning,22,,2,15,202.0
研究2/orginal data/22kHz USVs/1learn/EXT1G 2024-12-30  9_52 PM_Stats.xlsx,243.0,EXT1G,learning,22,,2,15,243.0
研究2/orginal data/22kHz USVs/1learn/EXT1R 2024-12-30  9_38 PM_Stats.xlsx,43.0,EXT1R,learning,22,,2,15,43.0
研究2/orginal data/22kHz USVs/1learn/EXT2B 2025-01-08  9_03 PM_Stats.xlsx,235.0,EXT2B,learning,22,,2,15,235.0
研究2/orginal data/22kHz USVs/1learn/EXT2G 2025-01-08 11_59 PM_Stats.xlsx,70.0,EXT2G,learning,22,,2,15,70.0
研究2/orginal data/22kHz USVs/1learn/EXT2R 2025-01-08  9_26 PM_Stats.xlsx,70.0,EXT2R,learning,22,,2,15,70.0
研究2/orginal data/22kHz USVs/1learn/EXT3B 2025-01-07  8_21 PM_Stats.xlsx,80.0,EXT3B,learning,22,,2,15,80.0
研究2/orginal data/22kHz USVs/1learn/EXT3G 2025-01-07  8_39 PM_Stats.xlsx,357.0,EXT3G,learning,22,,2,15,357.0
研究2/orginal data/22kHz USVs/1learn/EXT3R 2025-01-07  9_07 PM_Stats.xlsx,244.0,EXT3R,learning,22,,2,15,244.0
研究2/orginal data/22kHz USVs/1learn/NO EXT1B 2024-12-31 12_23 AM_Stats.xlsx,301.0,NOEXT1B,learning,22,,2,15,301.0
研究2/orginal data/22kHz USVs/1learn/NO EXT1G 2024-12-31 12_18 AM_Stats.xlsx,78.0,NOEXT1G,learning,22,,2,15,78.0
研究2/orginal data/22kHz USVs/1learn/NO EXT1R 2024-12-30 11_36 PM_Stats.xlsx,220.0,NOEXT1R,learning,22,,2,15,220.0
