study,subject_id,session_name,band,source_filepath,score,n_raw_rows
1a,XIN3G,cue_test,50,研究1a/oringinaldata/50kHz Matlab export/cue test/Xin3Gcue 2024-04-30 10_57 AM_Stats.xlsx,15,50.0
1a,XIN3G,generalization_5k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin3G5k 2024-04-30 10_56 AM_Stats.xlsx,15,69.0
1a,XIN3G,generalization_7k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin3G7k 2024-04-30 12_15 AM_Stats.xlsx,15,65.0
1a,XIN3G,learning,50,研究1a/oringinaldata/50kHz Matlab export/learning/Xin3Gcontrol 2024-04-29  9_21 PM_Stats.xlsx,0,121.0
1a,XIN3G,retest_cue,50,研究1a/oringinaldata/50kHz Matlab export/retest/Xin3Gre 2024-09-06 10_41 AM_Stats.xlsx,15,35.0
1a,XIN3R,contextual_test,50,研究1a/oringinaldata/50kHz Matlab export/context/Xin3Rcontext 2024-04-29  9_27 PM_Stats.xlsx,15,111.0
1a,XIN3R,cue_test,50,研究1a/oringinaldata/50kHz Matlab export/cue test/Xin3Rcue 2024-04-30 10_49 AM_Stats.xlsx,15,12.0
1a,XIN3R,generalization_5k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin3R5k 2024-04-30 10_49 AM_Stats.xlsx,15,76.0
1a,XIN3R,generalization_7k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin3R7k 2024-04-30 12_15 AM_Stats.xlsx,15,8.0
1a,XIN3R,learning,50,研究1a/oringinaldata/50kHz Matlab export/learning/Xin3Rcontrol 2024-04-29  9_08 PM_Stats.xlsx,0,139.0
1a,XIN3R,retest_cue,50,研究1a/oringinaldata/50kHz Matlab export/retest/Xin3Rre 2024-09-05 10_01 PM_Stats.xlsx,15,100.0
1a,XIN4B,contextual_test,50,研究1a/oringinaldata/50kHz Matlab export/context/Xin4Bcontext 2024-04-29  9_59 PM_Stats.xlsx,15,17.0
1a,XIN4B,cue_test,22,研究1a/oringinaldata/22kHz Matlab export/cue test/Xin4Bcue 2024-04-26  1_49 PM_Stats.xlsx,15,80.0
1a,XIN4B,cue_test,50,研究1a/oringinaldata/50kHz Matlab export/cue test/Xin4Bcue 2024-04-30 11_25 AM_Stats.xlsx,15,11.0
1a,XIN4B,generalization_5k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin4B5k 2024-04-30 11_14 AM_Stats.xlsx,15,3.0
1a,XIN4B,generalization_7k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin4B7k 2024-04-30 12_16 AM_Stats.xlsx,15,13.0
1a,XIN4B,learning,22,研究1a/oringinaldata/22kHz Matlab export/learning/learn/Xin4Blearn 2024-04-25  7_12 PM_Stats.xlsx,15,118.0
1a,XIN4B,learning,50,研究1a/oringinaldata/50kHz Matlab export/learning/Xin4Blearn 2024-04-29  9_58 PM_Stats.xlsx,0,45.0
