study,subject_id,session_name,band,source_filepath,score,n_raw_rows
2,NOEXT3B,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/NO EXT3B 2025-02-06  8_24 PM_Stats.xlsx,15,70.0
2,NOEXT3B,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/NO EXT3B 2025-01-24 12_27 AM_Stats.xlsx,15,1.0
2,NOEXT3B,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/NO EXT3B 2025-02-11 12_52 PM_Stats.xlsx,15,100.0
2,NOEXT3B,extinction4,22,研究2/orginal data/22kHz USVs/8extinction4/NO EXT3B 2025-01-24 12_43 AM_Stats.xlsx,15,12.0
2,NOEXT3B,extinction4,50,研究2/orginal data/50kHz USVs/8extinction4/NO EXT3B 2025-02-11  2_35 PM_Stats.xlsx,15,58.0
2,NOEXT3B,learning,50,研究2/orginal data/50kHz USVs/1learn/NO EXT3B 2025-02-05 11_51 PM_Stats.xlsx,15,41.0
2,NOEXT3B,renewal,22,研究2/orginal data/22kHz USVs/5renewal/NO EXT3B 2025-01-09  5_36 PM_Stats.xlsx,15,4.0
2,NOEXT3B,renewal,50,研究2/orginal data/50kHz USVs/5renewal/NO EXT3B 2025-02-10  9_40 PM_Stats.xlsx,15,7.0
2,NOEXT3B,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/NO EXT3B-ret 2025-01-20 11_58 AM_Stats.xlsx,15,1.0
2,NOEXT3G,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT3G 2025-01-08  9_50 PM_Stats.xlsx,35,119.0
2,NOEXT3G,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/NO EXT3G 2025-02-10  8_14 PM_Stats.xlsx,15,71.0
2,NOEXT3G,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/NO EXT3G 2025-01-20 11_51 PM_Stats.xlsx,15,117.0
2,NOEXT3G,extinction1,22,研究2/orginal data/22kHz USVs/3extinction1/NO EXT3G-ext 2025-01-20 12_02 PM_Stats.xlsx,15,1.0
2,NOEXT3G,extinction2,22,研究2/orginal data/22kHz USVs/6extinction2/NO EXT3G 2025-01-21  7_51 PM_Stats.xlsx,15,0.0
2,NOEXT3G,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/NO EXT3G 2025-02-06  8_32 PM_Stats.xlsx,15,1.0
2,NOEXT3G,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/NO EXT3G 2025-01-24 12_24 AM_Stats.xlsx,15,1.0
2,NOEXT3G,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/NO EXT3G 2025-02-11 12_45 PM_Stats.xlsx,15,29.0
2,NOEXT3G,extinction4,22,研究2/orginal data/22kHz USVs/8extinction4/NO EXT3G 2025-01-24 12_45 AM_Stats.xlsx,15,11.0
2,NOEXT3G,extinction4,50,研究2/orginal data/50kHz USVs/8extinction4/NO EXT3G 2025-02-11  2_28 PM_Stats.xlsx,15,2.0
2,NOEXT3G,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT3G 2025-01-09 12_17 AM_Stats.xlsx,35,475.0
2,NOEXT3G,learning,50,研究2/orginal data/50kHz USVs/1learn/NO EXT3G 2025-02-05 11_53 PM_Stats.xlsx,15,1043.0
2,NOEXT3G,renewal,22,研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/NO EXT3G 2025-01-09  5_33 PM_Stats.xlsx,35,6.0
2,NOEXT3G,renewal,50,研究2/orginal data/50kHz USVs/5renewal/NO EXT3G 2025-02-10 10_13 PM_Stats.xlsx,15,5.0
2,NOEXT3G,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/NO EXT3G-ret 2025-01-20 12_05 PM_Stats.xlsx,15,1.0
2,NOEXT3R,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT3R 2025-01-09  9_41 AM_Stats.xlsx,35,89.0
2,NOEXT3R,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/NO EXT3R 2025-02-10  8_07 PM_Stats.xlsx,15,140.0
2,NOEXT3R,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/NO EXT3R 2025-01-21 12_03 AM_Stats.xlsx,15,54.0
2,NOEXT3R,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/NO EXT3R 2025-02-11  6_36 PM_Stats.xlsx,15,98.0
2,NOEXT3R,extinction1,22,研究2/orginal data/22kHz USVs/3extinction1/NO EXT3R-ext 2025-01-20 12_09 PM_Stats.xlsx,15,1.0
2,NOEXT3R,extinction1,50,研究2/orginal data/50kHz USVs/3extinction1/NO EXT3R-ext 2025-02-09 11_57 PM_Stats.xlsx,15,5.0
2,NOEXT3R,extinction2,22,研究2/orginal data/22kHz USVs/6extinction2/NO EXT3R 2025-01-21  7_42 PM_Stats.xlsx,15,1.0
2,NOEXT3R,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/NO EXT3R 2025-02-06  8_36 PM_Stats.xlsx,15,5.0
2,NOEXT3R,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/NO EXT3R 2025-01-24 12_18 AM_Stats.xlsx,15,1.0
2,NOEXT3R,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/NO EXT3R 2025-02-11 12_40 PM_Stats.xlsx,15,12.0
2,NOEXT3R,extinction4,22,研究2/orginal data/22kHz USVs/8extinction4/NO EXT3R 2025-01-24 12_46 AM_Stats.xlsx,15,7.0
2,NOEXT3R,extinction4,50,研究2/orginal data/50kHz USVs/8extinction4/NO EXT3R 2025-02-11  2_17 PM_Stats.xlsx,15,6.0
2,NOEXT3R,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT3R 2025-01-07 11_28 PM_Stats.xlsx,35,301.0
2,NOEXT3R,learning,50,研究2/orginal data/50kHz USVs/1learn/NO EXT3R 2025-02-05 11_55 PM_Stats.xlsx,15,593.0
2,NOEXT3R,renewal,22,研究2/orginal data/22kHz USVs/5renewal/NO EXT3R 2025-01-09  5_39 PM_Stats.xlsx,15,4.0
2,NOEXT3R,renewal,50,研究2/orginal data/50kHz USVs/5renewal/NO EXT3R 2025-02-10 10_07 PM_Stats.xlsx,15,5.0
2,NOEXT3R,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/NO EXT3R-ret 2025-01-20 12_12 PM_Stats.xlsx,15,1.0
